Sample Name,PC1,PC2,PC3,Title,OntologyID1,OntologyTerm1,OntologyID2,OntologyTerm2,OntologyID3,OntologyTerm3,Sample Size,Study Source,Ecosystem1,Ecosystem2,Ecosystem3
10.24.12.rk.st.1200.1123127, -0.14822233383797642, 0.073379203767092269, -0.079725399343070019, Knight_ABTX_r4_comp, ENVO:00009003, human-associated habitat, ENVO:00002003, feces, Unknown, Unknown, 27097.0, , Animal/Human, Unknown, Unknown
egg.CAM.2009.367.712251.739289, -0.1442837567582213, 0.025369721428806911, 0.18572597191973761, Spatial and Temporal Variation in Nest and Egg Bacteria of Wild Birds, ENVO:02000057, hens egg product, Unknown, Unknown, Unknown, Unknown, 89868.0, , Animal/Human, Anthropogenic, Unknown
IPB012.Transverse.colon.396930, -0.13642393011248569, 0.096768946079701018, -0.13183007973142971, Characterization of Bacteria in Biopsies of Colon and Stools by High Throughput Sequencing of the V2 Region of Bacterial 16S rRNA Gene in Human, ENVO:00009003, human-associated habitat, Unknown, Unknown, Unknown, Unknown, 383.0, , Animal/Human, Unknown, Unknown
S81.141236, 0.24226945500477587, -0.12068381225549436, -0.022678579907858171, The influence of sex handedness and washing on the diversity of hand surface bacteriaS1_V136, ENVO:00009003, human-associated habitat, ENVO:02000037, sebum, Unknown, Unknown, 2458.0, , Animal/Human, Unknown, Unknown
egg.MI.2009.551.712029.739394, -0.10826557590748968, 0.0035356278103404284, 0.0094414626858080695, Spatial and Temporal Variation in Nest and Egg Bacteria of Wild Birds, ENVO:02000057, hens egg product, Unknown, Unknown, Unknown, Unknown, 1.0, , Animal/Human, Anthropogenic, Unknown
swab9.16.481244, -0.077831637025195993, -0.073894776281877309, -0.025243493828725577, Lung_HIV_Microbiome_Project, ENVO:00009003, human-associated habitat, Unknown, Unknown, Unknown, Unknown, 4.0, , Animal/Human, Unknown, Unknown
M32Hair.140734, 0.47501904155198443, 0.17719229616574164, 0.018375636305482269, Bacterial Community Variation in Human Body Habitats Across Space and Time, ENVO:00009003, human-associated habitat, ENVO:02000037, sebum, Unknown, Unknown, 1144.0, , Animal/Human, Unknown, Unknown
051026BA04.485983, -0.017156412535420877, -0.38624241863022957, -0.095202659461691805, LHMP Indiana, ENVO:00009003, human-associated habitat, ENVO:02000040, mucus, Unknown, Unknown, 6034.0, , Animal/Human, Unknown, Unknown
egg.TN.2009.360.712240.739641, -0.11535927144474969, 0.0052555318545615248, 0.021577260858017835, Spatial and Temporal Variation in Nest and Egg Bacteria of Wild Birds, ENVO:02000057, hens egg product, Unknown, Unknown, Unknown, Unknown, 2.0, , Animal/Human, Anthropogenic, Unknown
RK.C28, -0.10825988811121853, 0.0035498529739266334, 0.0094648841501810028, BioMineralization Experiment, ENVO:02000006, cultured habitat, Unknown, Unknown, Unknown, Unknown, 51158.0, , Anthropogenic, Unknown, Unknown
M22Nose.140594, 0.39989724437697777, 0.21606967580394193, -0.16176730095313682, Bacterial Community Variation in Human Body Habitats Across Space and Time, ENVO:00009003, human-associated habitat, ENVO:02000037, sebum, Unknown, Unknown, 2622.0, , Animal/Human, Unknown, Unknown
E1A03PreWash1.481257, 0.15061977237112828, 0.065664970443919612, -0.049854190204860378, Lung_HIV_Microbiome_Project, ENVO:00009003, human-associated habitat, Unknown, Unknown, Unknown, Unknown, 8.0, , Animal/Human, Unknown, Unknown
Bbi2.285912, -0.066715935293490722, 0.059339559303094244, -0.044928378680714892, Delivery mode effects on newborn microbiota, ENVO:00009003, human-associated habitat, ENVO:02000037, sebum, Unknown, Unknown, 1593.0, , Animal/Human, Unknown, Unknown
egg.CO.2009.585.712371.739087, -0.12848869688066597, 0.014903085742956785, 0.130845677327839, Spatial and Temporal Variation in Nest and Egg Bacteria of Wild Birds, ENVO:02000057, hens egg product, Unknown, Unknown, Unknown, Unknown, 198977.0, , Animal/Human, Anthropogenic, Unknown
Rcul.7.1078773, -0.10660421663552912, 0.0063939774150202563, 0.013041437233909449, Identification of Household Bacterial Community and Analysis of Species Shared with Human Microbiome, ENVO:00000446, terrestrial biome, ENVO:00000856, city, Unknown, Unknown, 1459.0, , Soil, Anthropogenic, Unknown
egg.TN.2010.415.712237.739515, -0.038273160474140186, 0.039975398974551615, 0.074909575912297355, Spatial and Temporal Variation in Nest and Egg Bacteria of Wild Birds, ENVO:02000057, hens egg product, Unknown, Unknown, Unknown, Unknown, 124629.0, , Animal/Human, Anthropogenic, Unknown
TS8.2.299029, -0.16457437285622412, 0.12388793468843748, -0.18489230426204711, A core gut microbiome in obese and lean twins, ENVO:00009003, human-associated habitat, ENVO:00002003, feces, Unknown, Unknown, 397.0, , Animal/Human, Unknown, Unknown
EKAM8.489462, 0.38182176800712059, 0.10252869638061436, -0.0031849418199307753, Microbial biogeography of public restroom surfaces, ENVO:00000856, city, ENVO:00000073, building, Unknown, Unknown, 4313.0, , Anthropogenic, Unknown, Unknown
f32c39fb6bf98007725559e29ce4cfe1, -0.10954566642164348, 0.0039518196192033957, 0.01272717702204112, Composition and Characterization of Bacterial Communities in Antibiotic Production Wastewater and the Receiving River Using Culture-dependent and -independent Techniques, ID:0000126, river receiving production wastewater, Unknown, Unknown, Unknown, Unknown, 19.0, , Freshwater, Anthropogenic, Unknown
EKCF9.489499, 0.14264198289391883, 0.084044398137940263, -0.012894453331434855, Microbial biogeography of public restroom surfaces, ENVO:00000856, city, ENVO:00000073, building, Unknown, Unknown, 2437.0, , Anthropogenic, Unknown, Unknown
59.HB.RightPalm.663903, 0.0098003598158091509, 0.015587598578378898, 0.22150692001091507, Ultra-high-throughput microbial community analysis on the Illumina HiSeq and MiSeq platforms, ENVO:00009003, human-associated habitat, ENVO:02000037, sebum, Unknown, Unknown, 25431.0, , Animal/Human, Unknown, Unknown
3d4fe16ee9619e735b6179c4ccb7517f, -0.10794464335774447, 0.0016428040233440818, 0.0089192016635959871, Community structure of Bacteria in a methanogenic fermenter of cattle waste and some characteristics of fermentative bacterial isolates, ENVO:00003870, rice straw, Unknown, Unknown, Unknown, Unknown, 8.0, , Anthropogenic, Unknown, Unknown
737d57c241b1af0fe7eba4f2b22ff90d, -0.10826557590748971, 0.0035356278103398811, 0.0094414626858078353, Spore forming bacteria in cattle manure slaughterhouse waste and substrates from biogas plants, ENVO:00002264, waste, Unknown, Unknown, Unknown, Unknown, 12.0, , Anthropogenic, Unknown, Unknown
PTCM8.489465, -0.077135355205033382, 0.019347537744773397, 0.032759658141555563, Microbial biogeography of public restroom surfaces, ENVO:00000856, city, ENVO:00000073, building, Unknown, Unknown, 2138.0, , Anthropogenic, Unknown, Unknown
sample.10.08DO2N.51.664708, -0.0629988702256494, 0.056752432752564398, 0.22293707526492448, Quality-filtering vastly improves diversity estimates from Illumina amplicon sequencing, ENVO:00000446, terrestrial biome, ENVO:01000014, wine, ENVO:00002031, anthropogenic habitat, 24155.0, , Soil, Plant, Anthropogenic
egg.NY.2010.607.712614.738995, -0.12252974411357821, 0.040859606686960898, 0.25527597881298109, Spatial and Temporal Variation in Nest and Egg Bacteria of Wild Birds, ENVO:02000057, hens egg product, Unknown, Unknown, Unknown, Unknown, 140067.0, , Animal/Human, Anthropogenic, Unknown
PTBF5.489479, -0.15534387862537391, 0.22686146803514287, -0.3370841893297809, Microbial biogeography of public restroom surfaces, ENVO:00000856, city, ENVO:00000073, building, Unknown, Unknown, 3498.0, , Anthropogenic, Unknown, Unknown
IPC009.Transverse.colon.396950, -0.16831809728548622, 0.12116671189004055, -0.1840618526190817, Characterization of Bacteria in Biopsies of Colon and Stools by High Throughput Sequencing of the V2 Region of Bacterial 16S rRNA Gene in Human, ENVO:00009003, human-associated habitat, Unknown, Unknown, Unknown, Unknown, 1427.0, , Animal/Human, Unknown, Unknown
